ticker,date,wsb,day,users_holding
AAL,2020-03-02,0,Monday,16171
AAL,2020-03-03,1,Tuesday,20031
AAL,2020-03-04,0,Wednesday,22289
AAL,2020-03-05,1,Thursday,26722
AAL,2020-03-06,1,Friday,32595
AAL,2020-03-09,1,Monday,39430
AAL,2020-03-10,0,Tuesday,46380
AAL,2020-03-11,0,Wednesday,50638
AAL,2020-03-12,1,Thursday,58844
AAL,2020-03-13,1,Friday,73354
AAL,2020-03-16,0,Monday,90001
AAL,2020-03-17,1,Tuesday,95996
AAL,2020-03-18,1,Wednesday,107956
AAL,2020-03-19,1,Thursday,123656
AAL,2020-03-20,1,Friday,138644
AAL,2020-03-23,1,Monday,155917
AAL,2020-03-24,1,Tuesday,165055
AAL,2020-03-25,0,Wednesday,182077
AAL,2020-03-26,0,Thursday,193948
AAL,2020-03-27,0,Friday,201722
AAL,2020-03-30,0,Monday,213866
AAL,2020-03-31,0,Tuesday,223213
AAL,2020-04-01,0,Wednesday,232819
AAL,2020-04-02,0,Thursday,244977
AAL,2020-04-03,0,Friday,259422
AAL,2020-04-06,0,Monday,279549
AAL,2020-04-07,0,Tuesday,286023
AAL,2020-04-08,0,Wednesday,292166
AAL,2020-04-09,0,Thursday,298614
AAL,2020-04-10,1,Friday,298524
AAL,2020-04-13,0,Monday,314005
AAL,2020-04-14,0,Tuesday,323215
AAL,2020-04-15,0,Wednesday,340765
AAL,2020-04-16,0,Thursday,352471
AAL,2020-04-17,0,Friday,361204
AAL,2020-04-20,0,Monday,376001
AAL,2020-04-21,0,Tuesday,383281
AAL,2020-04-22,0,Wednesday,395473
AAL,2020-04-23,1,Thursday,403074
AAL,2020-04-24,1,Friday,410656
AAL,2020-04-27,0,Monday,426463
AAL,2020-04-28,0,Tuesday,429967
AAL,2020-04-29,0,Wednesday,436859
AAL,2020-04-30,0,Thursday,446698
AAL,2020-05-01,0,Friday,459120
AAL,2020-05-04,1,Monday,478633
AAL,2020-05-05,0,Tuesday,486920
AAL,2020-05-06,0,Wednesday,492753
AAL,2020-05-07,1,Thursday,497718
AAL,2020-05-08,0,Friday,500549
AAL,2020-05-11,0,Monday,508462
AAL,2020-05-12,1,Tuesday,510930
AAL,2020-05-13,0,Wednesday,514910
AAL,2020-05-14,1,Thursday,518276
AAL,2020-05-15,0,Friday,521123
AAL,2020-05-18,0,Monday,520269
AAL,2020-05-19,1,Tuesday,523101
AAL,2020-05-20,0,Wednesday,526198
AAL,2020-05-21,0,Thursday,530288
AAL,2020-05-22,0,Friday,534452
AAL,2020-05-25,0,Monday,534430
AAL,2020-05-26,0,Tuesday,535035
AAL,2020-05-27,0,Wednesday,542929
AAL,2020-05-28,1,Thursday,544763
AAL,2020-05-29,0,Friday,548131
AAL,2020-06-01,0,Monday,551656
AAPL,2020-03-02,1,Monday,255515
AAPL,2020-03-03,1,Tuesday,261186
AAPL,2020-03-04,0,Wednesday,261520
AAPL,2020-03-05,0,Thursday,262248
AAPL,2020-03-06,0,Friday,263583
AAPL,2020-03-09,1,Monday,265105
AAPL,2020-03-10,0,Tuesday,268987
AAPL,2020-03-11,1,Wednesday,268950
AAPL,2020-03-12,1,Thursday,268060
AAPL,2020-03-13,1,Friday,272060
AAPL,2020-03-16,1,Monday,277716
AAPL,2020-03-17,0,Tuesday,279387
AAPL,2020-03-18,1,Wednesday,281262
AAPL,2020-03-19,1,Thursday,284158
AAPL,2020-03-20,1,Friday,292418
AAPL,2020-03-23,1,Monday,300116
AAPL,2020-03-24,0,Tuesday,301411
AAPL,2020-03-25,1,Wednesday,306937
AAPL,2020-03-26,0,Thursday,308820
AAPL,2020-03-27,1,Friday,310600
AAPL,2020-03-30,1,Monday,311490
AAPL,2020-03-31,1,Tuesday,313286
AAPL,2020-04-01,1,Wednesday,317125
AAPL,2020-04-02,1,Thursday,319897
AAPL,2020-04-03,1,Friday,322261
AAPL,2020-04-06,1,Monday,321519
AAPL,2020-04-07,0,Tuesday,323856
AAPL,2020-04-08,0,Wednesday,325005
AAPL,2020-04-09,0,Thursday,326807
AAPL,2020-04-10,1,Friday,326738
AAPL,2020-04-13,1,Monday,329635
